Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена
1,50.0,3,16,0.1875,4.351043125700456,Яшьлек,1.5297280986790516,0,0,1,0,9850000
2,50.0,14,24,0.583333,6.291717494785359,Горки,0.3923187477067837,0,0,1,0,12999999
2,41.5,2,9,0.222222,7.866936057344911,Авиастроительная,1.1076319740856289,0,0,1,0,6000000
2,61.2,16,17,0.941176,7.239205797106982,Горки,3.9622941540353596,0,0,0,0,10399000
1,40.0,14,19,0.736842,12.453319499881674,Дубравная,6.041584238588195,0,0,1,0,6800000
2,62.3,3,18,0.166667,16.64333179702786,Авиастроительная,12.547553161829125,0,0,1,0,8600000
2,56.6,6,10,0.6,6.147966595380342,Горки,5.262067991635267,0,0,1,0,10200000
1,45.9,4,21,0.190476,8.803938858262145,Дубравная,2.264603083741518,0,0,0,0,9250000
2,60.6,4,25,0.16,8.739007446152732,Дубравная,3.226259283962064,0,0,1,0,11550000
2,47.0,5,19,0.263158,13.368913906149862,Дубравная,7.165406633317402,0,0,0,0,6300000
3,95.0,5,10,0.5,5.717887252598585,Суконная слобода,4.783294030103672,0,0,0,0,14490000
2,50.0,9,9,1.0,5.441299422532659,Козья слобода,4.147320050306564,0,0,1,0,8500000
1,31.0,3,5,0.6,10.779444938330712,Авиастроительная,8.661725867068274,0,0,1,0,4450000
2,54.1,5,9,0.555556,5.544326473991698,Козья слобода,3.933864435864147,0,0,1,0,8100000
1,29.0,9,9,1.0,6.386796914932163,Горки,0.7778576977286636,0,0,0,0,6900000
2,45.0,2,9,0.222222,6.258381532240466,Горки,0.731444443188349,0,0,1,0,9599000
2,53.0,4,4,1.0,15.220287229554138,Дубравная,7.142393986173647,0,0,0,0,6000000
1,33.0,4,5,0.8,4.3815824453398795,Яшьлек,0.3961916476595933,0,0,0,0,6500000
1,30.8,1,2,0.5,5.635196705408958,Северный вокзал,1.1252839986501406,0,0,1,0,4880000
2,60.3,4,16,0.25,4.950373325371888,Козья слобода,3.9254538511219943,0,0,1,0,10500000
4,77.2,6,10,0.6,2.3346971159531558,Суконная слобода,0.2988254500602487,0,0,1,0,14500000
3,65.6,4,9,0.444444,5.787029266750922,Северный вокзал,3.0748885932471453,0,0,1,0,9300000
4,77.2,6,10,0.6,2.3346971159531558,Суконная слобода,0.2988254500602487,0,0,1,0,14500000
3,65.6,4,9,0.444444,5.787029266750922,Северный вокзал,3.0748885932471453,0,0,1,0,9300000
2,56.6,6,10,0.6,6.147966595380342,Горки,5.262067991635267,0,0,1,0,10200000
1,37.0,9,9,1.0,6.848972600338623,Горки,4.251553055959455,0,0,1,0,8000000
2,49.7,6,9,0.666667,3.221947032884357,Козья слобода,0.46184280076786544,0,0,1,0,9700000
2,48.0,5,5,1.0,5.322597119369283,Северный вокзал,1.4838351005461816,0,0,1,0,6100000
1,31.8,5,5,1.0,3.448965497701264,Аметьево,0.9693415916251994,0,0,1,0,6150000
1,41.7,3,12,0.25,7.613682443205974,Проспект Победы,2.8050480728780354,0,0,1,0,9700000
студия,19.1,1,4,0.25,14.65883321114352,Яшьлек,12.35591310737824,0,0,1,0,2250000
2,47.6,2,5,0.4,15.77138682994782,Дубравная,7.643998220836944,0,0,1,0,5500000
1,37.0,2,7,0.285714,5.31088235807306,Северный вокзал,0.6721057474923756,0,0,1,0,9599999
2,44.0,3,5,0.6,3.596159936450619,Козья слобода,0.7296793895203454,0,0,1,0,7500000
3,71.0,17,23,0.73913,7.653980428282981,Проспект Победы,2.9634718702521647,0,0,1,0,14550000
студия,12.0,4,5,0.8,5.280652337916861,Северный вокзал,0.8406876540623632,0,0,1,0,2700000
1,33.8,5,5,1.0,8.893378093267794,Дубравная,2.474632205780523,0,0,1,0,7700000
1,35.6,4,10,0.4,7.61211069774969,Горки,3.9371209932460918,0,0,1,0,7860000
студия,22.0,3,3,1.0,19.91336184579439,Дубравная,15.148208431425854,0,0,1,0,4559000
