Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена,Log_Цена,Log_Площадь,Кол-во комнат_num
1,45.6,3,10,0.3,1.1194967390187611,Площадь Тукая,0.5022532817239597,0,0,0,0,14433000,16.485027878635364,3.8416005411316,1.0
2,50.7,5,11,0.454545,7.761243514016058,Авиастроительная,0.402600836364895,0,0,0,0,13602210,16.42574291102205,3.9454577815143836,2.0
1,38.7,5,24,0.208333,6.659001800528684,Горки,2.423289333699275,0,0,1,0,9200000,16.034714150714915,3.681351187693145,1.0
2,63.8,7,16,0.4375,6.619908567198098,Проспект Победы,1.2674430768250746,0,0,1,0,11800000,16.283610174181653,4.1713056033582285,2.0
1,29.2,7,10,0.7,9.101314275039494,Авиастроительная,1.632816666977535,0,0,1,0,4499999,15.319587954740548,3.407841924380824,1.0
студия,18.4,3,5,0.6,5.280891337390167,Северный вокзал,1.4052623843954906,0,0,0,0,3490000,15.06541258071152,2.9652730660692823,
студия,18.0,2,5,0.4,5.205811822450818,Северный вокзал,0.8757122602574073,0,0,0,0,4049000,15.213980741988829,2.9444389791664403,
2,59.0,7,12,0.583333,3.7382193954345735,Аметьево,1.1984697255194092,0,0,0,0,15011000,16.524293890260125,4.0943445622221,2.0
3,93.8,3,5,0.6,13.033058089841902,Дубравная,7.0222938217287405,0,0,0,0,15630000,16.564702766377184,4.551769409260976,3.0
2,65.4,3,23,0.130435,7.653980428282981,Проспект Победы,2.9634718702521647,0,0,1,0,11499000,16.25777071999488,4.1956970564823886,2.0
2,45.2,3,5,0.6,5.171523723551429,Яшьлек,1.85062039187118,0,0,0,0,6900000,15.747032114495013,3.832979798087693,2.0
студия,28.5,3,3,1.0,20.00325163498699,Дубравная,15.246211688535052,0,0,0,0,5450000,15.511126350125648,3.3843902633457743,
1,34.4,2,9,0.222222,9.244705850752029,Авиастроительная,1.7775386179638577,0,0,1,0,5100000,15.444751293772967,3.5667118201397288,1.0
3,76.8,5,8,0.625,2.666804168963955,Суконная слобода,0.5278897846315355,0,0,1,0,25990000,17.07322244509401,4.354141431184346,3.0
